state,state_txt
41,"+---------+, |Passenger waiting: |Taxi (empty): :destination|, | : | : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
141,"+---------+, |Passenger waiting: | : :destination|, | : |Taxi (empty): : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
241,"+---------+, |Passenger waiting: | : :destination|, | : | : : |, | : :Taxi (empty): : |, | | : | : |, | | : | : |, +---------+"
221,"+---------+, |Passenger waiting: | : :destination|, | : | : : |, | :Taxi (empty): : : |, | | : | : |, | | : | : |, +---------+"
341,"+---------+, |Passenger waiting: | : :destination|, | : | : : |, | : : : : |, | | :Taxi (empty)| : |, | | : | : |, +---------+"
441,"+---------+, |Passenger waiting: | : :destination|, | : | : : |, | : : : : |, | | : | : |, | | :Taxi (empty)| : |, +---------+"
321,"+---------+, |Passenger waiting: | : :destination|, | : | : : |, | : : : : |, | |Taxi (empty): | : |, | | : | : |, +---------+"
421,"+---------+, |Passenger waiting: | : :destination|, | : | : : |, | : : : : |, | | : | : |, | |Taxi (empty): | : |, +---------+"
121,"+---------+, |Passenger waiting: | : :destination|, | :Taxi (empty)| : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
21,"+---------+, |Passenger waiting:Taxi (empty)| : :destination|, | : | : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
1,"+---------+, |Taxi (empty) Passenger waiting: | : :destination|, | : | : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
101,"+---------+, |Passenger waiting: | : :destination|, |Taxi (empty): | : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
201,"+---------+, |Passenger waiting: | : :destination|, | : | : : |, |Taxi (empty): : : : |, | | : | : |, | | : | : |, +---------+"
17,"+---------+, |Taxi (with passenger): | : :destination|, | : | : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
37,"+---------+, | :Taxi (with passenger)| : :destination|, | : | : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
137,"+---------+, | : | : :destination|, | :Taxi (with passenger)| : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
117,"+---------+, | : | : :destination|, |Taxi (with passenger): | : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
237,"+---------+, | : | : :destination|, | : | : : |, | :Taxi (with passenger): : : |, | | : | : |, | | : | : |, +---------+"
301,"+---------+, |Passenger waiting: | : :destination|, | : | : : |, | : : : : |, |Taxi (empty)| : | : |, | | : | : |, +---------+"
401,"+---------+, |Passenger waiting: | : :destination|, | : | : : |, | : : : : |, | | : | : |, |Taxi (empty)| : | : |, +---------+"
261,"+---------+, |Passenger waiting: | : :destination|, | : | : : |, | : : :Taxi (empty): |, | | : | : |, | | : | : |, +---------+"
361,"+---------+, |Passenger waiting: | : :destination|, | : | : : |, | : : : : |, | | : |Taxi (empty): |, | | : | : |, +---------+"
461,"+---------+, |Passenger waiting: | : :destination|, | : | : : |, | : : : : |, | | : | : |, | | : |Taxi (empty): |, +---------+"
481,"+---------+, |Passenger waiting: | : :destination|, | : | : : |, | : : : : |, | | : | : |, | | : | :Taxi (empty)|, +---------+"
381,"+---------+, |Passenger waiting: | : :destination|, | : | : : |, | : : : : |, | | : | :Taxi (empty)|, | | : | : |, +---------+"
281,"+---------+, |Passenger waiting: | : :destination|, | : | : : |, | : : : :Taxi (empty)|, | | : | : |, | | : | : |, +---------+"
181,"+---------+, |Passenger waiting: | : :destination|, | : | : :Taxi (empty)|, | : : : : |, | | : | : |, | | : | : |, +---------+"
161,"+---------+, |Passenger waiting: | : :destination|, | : | :Taxi (empty): |, | : : : : |, | | : | : |, | | : | : |, +---------+"
61,"+---------+, |Passenger waiting: | :Taxi (empty):destination|, | : | : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
81,"+---------+, |Passenger waiting: | : :Taxi (empty) destination|, | : | : : |, | : : : : |, | | : | : |, | | : | : |, +---------+"
217,"+---------+, | : | : :destination|, | : | : : |, |Taxi (with passenger): : : : |, | | : | : |, | | : | : |, +---------+"
317,"+---------+, | : | : :destination|, | : | : : |, | : : : : |, |Taxi (with passenger)| : | : |, | | : | : |, +---------+"
417,"+---------+, | : | : :destination|, | : | : : |, | : : : : |, | | : | : |, |Taxi (with passenger)| : | : |, +---------+"
409,"+---------+, | : | : :destination|, | : | : : |, | : : : : |, | | : | : |, |Taxi (empty) Passenger waiting| : | : |, +---------+"
309,"+---------+, | : | : :destination|, | : | : : |, | : : : : |, |Taxi (empty)| : | : |, |Passenger waiting| : | : |, +---------+"
209,"+---------+, | : | : :destination|, | : | : : |, |Taxi (empty): : : : |, | | : | : |, |Passenger waiting| : | : |, +---------+"
109,"+---------+, | : | : :destination|, |Taxi (empty): | : : |, | : : : : |, | | : | : |, |Passenger waiting| : | : |, +---------+"
229,"+---------+, | : | : :destination|, | : | : : |, | :Taxi (empty): : : |, | | : | : |, |Passenger waiting| : | : |, +---------+"
129,"+---------+, | : | : :destination|, | :Taxi (empty)| : : |, | : : : : |, | | : | : |, |Passenger waiting| : | : |, +---------+"
9,"+---------+, |Taxi (empty): | : :destination|, | : | : : |, | : : : : |, | | : | : |, |Passenger waiting| : | : |, +---------+"
29,"+---------+, | :Taxi (empty)| : :destination|, | : | : : |, | : : : : |, | | : | : |, |Passenger waiting| : | : |, +---------+"
249,"+---------+, | : | : :destination|, | : | : : |, | : :Taxi (empty): : |, | | : | : |, |Passenger waiting| : | : |, +---------+"
269,"+---------+, | : | : :destination|, | : | : : |, | : : :Taxi (empty): |, | | : | : |, |Passenger waiting| : | : |, +---------+"
369,"+---------+, | : | : :destination|, | : | : : |, | : : : : |, | | : |Taxi (empty): |, |Passenger waiting| : | : |, +---------+"
